	SVL	Mass
Ablepharus_bivittatus	61.0	4.4
Ablepharus_budaki	48.0	2.0
Ablepharus_chernovi	54.0	2.9
Ablepharus_darvazi	44.0	1.5
Ablepharus_deserti	58.8	3.9
Ablepharus_grayanus	33.0	0.6
Ablepharus_kitaibelii	58.0	3.7
Ablepharus_lindbergi	50.0	2.3
Ablepharus_pannonicus	55.0	3.1
Ablepharus_rueppellii	52.0	2.6
Abronia_anzuetoi	135.0	44.5
Abronia_aurita	125.0	34.1
Abronia_bogerti	87.0	9.6
Abronia_campbelli	127.0	36.0
Abronia_chiszari	75.0	5.8
Abronia_deppii	115.0	25.5
Abronia_fimbriata	130.0	39.0
Abronia_frosti	110.0	21.8
Abronia_fuscolabialis	118.0	27.9
Abronia_gaiophantasma	110.0	21.8
Abronia_graminea	106.0	19.2
Abronia_leurolepis	105.0	18.6
Abronia_lythrochila	120.0	29.5
Abronia_martindelcampoi	115.0	25.5
Abronia_matudai	110.0	21.8
Abronia_meledona	120.0	29.5
Abronia_mitchelli	105.0	18.6
Abronia_mixteca	148.0	61.3
Abronia_montecristoi	93.0	12.2
Abronia_oaxacae	117.0	27.1
Abronia_ochoterenai	113.5	24.3
Abronia_ornelasi	97.0	14.1
Abronia_ramirezi	93.0	12.2
Abronia_reidi	100.0	15.7
Abronia_salvadorensis	94.0	12.6
Abronia_smithi	110.0	21.8
Abronia_taeniata	138.0	48.1
Abronia_vasconcelosii	120.0	29.5
Acanthocercus_adramitanus	157.0	135.6
Acanthocercus_annectens	152.0	122.6
Acanthocercus_atricollis	171.0	176.8
Acanthocercus_branchi	155.0	130.3
Acanthocercus_cyanogaster	167.0	164.3
Acanthocercus_guentherpetersi	102.0	35.5
Acanthocercus_phillipsii	112.0	47.5
Acanthocercus_yemensis	136.0	86.8
Acanthodactylus_aegyptius	52.0	3.3
Acanthodactylus_ahmaddisii	78.5	11.2
Acanthodactylus_arabicus	77.0	10.6
Acanthodactylus_aureus	70.4	8.1
Acanthodactylus_bedriagai	77.0	10.6
Acanthodactylus_beershebensis	90.0	16.7
Acanthodactylus_blanci	95.0	19.6
Acanthodactylus_blanfordii	75.0	9.8
Acanthodactylus_boskianus	95.0	19.6
Acanthodactylus_boueti	63.0	5.8
Acanthodactylus_busacki	73.6	9.3
Acanthodactylus_cantoris	94.0	19.0
Acanthodactylus_dumerilii	68.0	7.3
Acanthodactylus_erythrurus	84.0	13.7
Acanthodactylus_felicis	65.0	6.4
Acanthodactylus_gongrorhynchatus	65.0	6.4
Acanthodactylus_grandis	103.0	24.9
Acanthodactylus_guineensis	60.0	5.1
Acanthodactylus_haasi	65.0	6.4
Acanthodactylus_hardyi	52.0	3.3
Acanthodactylus_harranensis	94.8	19.5
Acanthodactylus_khamirensis	48.4	2.7
