	year	Area	Country	Genus	Species
Chamaeleo_chamaeleon	1758	Africa	Africa	Chamaeleo	chamaeleon
Naja_nivea	1758	Africa	Africa	Naja	nivea
Natrix_maura	1758	Africa	Algeria	Natrix	maura
Agama_agama	1758	Africa	Cameroon	Agama	agama
Scincus_scincus	1758	Africa	Egypt	Scincus	scincus
Gongylophis_colubrinus	1758	Africa	Egypt	Gongylophis	colubrinus
Eryx_jaculus	1758	Africa	Egypt	Eryx	jaculus
Cerastes_vipera	1758	Africa	Egypt	Cerastes	vipera
Cerastes_cerastes	1758	Africa	Egypt	Cerastes	cerastes
Dolichophis_jugularis	1758	Africa	Egypt	Dolichophis	jugularis
Tarentola_mauritanica	1758	Africa	Morocco	Tarentola	mauritanica
Typhlops_reticulatus	1758	Africa	Somalia	Typhlops	reticulatus
Tetradactylus_seps	1758	Africa	South_Africa	Tetradactylus	seps
Chamaesaura_anguina	1758	Africa	South_Africa	Chamaesaura	anguina
Cordylus_cordylus	1758	Africa	South_Africa	Cordylus	cordylus
Acontias_meleagris	1758	Africa	South_Africa	Acontias	meleagris
Bitis_atropos	1758	Africa	South_Africa	Bitis	atropos
Psammophylax_rhombeatus	1758	Africa	South_africa	Psammophylax	rhombeatus
Homoroselaps_lacteus	1758	Africa	South_Africa	Homoroselaps	lacteus
Lamprophis_aurora	1758	Africa	South_Africa	Lamprophis	aurora
Dasypeltis_scabra	1758	Africa	South_Africa	Dasypeltis	scabra
Pseudaspis_cana	1758	Africa	Southern_Africa	Pseudaspis	cana
Psammophis_sibilans	1758	Africa	Sudan	Psammophis	sibilans
Duberria_lutrix	1758	Africa	Tanzania	Duberria	lutrix
Chalcides_chalcides	1758	Africa	Tunisia	Chalcides	chalcides
Naja_haje	1758	Africa	West_Africa*	Naja	haje
Varanus_niloticus	1766	Africa	Africa	Varanus	niloticus
Scelotes_bipes	1766	Africa	South_Africa	Scelotes	bipes
Chamaeleo_africanus	1768	Africa	Africa	Chamaeleo	africanus
Chalcides_ocellatus	1775	Africa	Egypt	Chalcides	ocellatus
Uromastyx_aegyptia	1775	Africa	Egypt	Uromastyx	aegyptia
Pachydactylus_geitje	1778	Africa	South_Africa	Pachydactylus	geitje
Python_sebae	1789	Africa	Africa	Python	sebae
Podarcis_tiliguerta	1789	Africa	Algeria	Podarcis	tiliguerta
Bradypodion_pumilum	1789	Africa	South_Africa	Bradypodion	pumilum
Hemachatus_haemachatus	1790	Africa	South_Africa	Hemachatus	haemachatus
Varanus_exanthematicus	1792	Africa	Senegal	Varanus	exanthematicus
Ptyodactylus_hasselquistii	1798	Africa	Egypt	Ptyodactylus	hasselquistii
Varanus_albigularis	1802	Africa	Ethiopia	Varanus	albigularis
Bitis_nasicornis	1802	Africa	Inner_Africa	Bitis	nasicornis
Acanthodactylus_boskianus	1802	Africa	Niger	Acanthodactylus	boskianus
Chamaeleo_senegalensis	1802	Africa	Senegal	Chamaeleo	senegalensis
Python_regius	1802	Africa	Senegal	Python	regius
Afrogecko_porphyreus	1802	Africa	South_Africa	Afrogecko	porphyreus
Tetradactylus_tetradactylus	1802	Africa	South_Africa	Tetradactylus	tetradactylus
Scelotes_gronovii	1802	Africa	South_Africa	Scelotes	gronovii
Agama_atra	1802	Africa	South_Africa	Agama	atra
Bitis_cornuta	1803	Africa	South_Africa	Bitis	cornuta
Psammophis_crucifer	1803	Africa	South_africa	Psammophis	crucifer
Trachylepis_vittata	1804	Africa	Egypt	Trachylepis	vittata
Malpolon_monspessulanus	1804	Africa	North_Africa	Malpolon	monspessulanus
Typhlosaurus_caecus	1817	Africa	South_Africa	Typhlosaurus	caecus
Grayia_smithii	1818	Africa	Democtatic_republic_of_Congo	Grayia	smithii
Typhlops_punctatus	1819	Africa	Ghana	Typhlops	punctatus
Chamaeleo_dilepis	1819	Africa	Somalia	Chamaeleo	dilepis
Trapelus_mutabilis	1820	Africa	Libya	Trapelus	mutabilis
Agama_aculeata	1820	Africa	Namibia	Agama	aculeata
Bitis_arietans	1820	Africa	South_Africa	Bitis	arietans
Stenodactylus_sthenodactylus	1823	Africa	Egypt	Stenodactylus	sthenodactylus
Trachylepis_quinquetaeniata	1823	Africa	Egypt	Trachylepis	quinquetaeniata
Mesalina_guttulata	1823	Africa	Egypt	Mesalina	guttulata
Mesalina_rubropunctata	1823	Africa	Egypt	Mesalina	rubropunctata
Acanthodactylus_pardalis	1823	Africa	Egypt	Acanthodactylus	pardalis
Causus_rhombeatus	1823	Africa	South_Africa	Causus	rhombeatus
Lycodonomorphus_rufulus	1823	Africa	South_Africa	Lycodonomorphus	rufulus
Uromastyx_ocellata	1823	Africa	Sudan	Uromastyx	ocellata
Scelotes_sexlineatus	1824	Africa	South_Africa	Scelotes	sexlineatus
Uromastyx_acanthinura	1825	Africa	Morocco	Uromastyx	acanthinura
Tarentola_annularis	1827	Africa	Egypt	Tarentola	annularis
Cyrtopodion_scabrum	1827	Africa	Egypt	Cyrtopodion	scabrum
Hemidactylus_robustus	1827	Africa	Egypt	Hemidactylus	robustus
Acanthodactylus_scutellatus	1827	Africa	Egypt	Acanthodactylus	scutellatus
Macroprotodon_cucullatus	1827	Africa	Egypt	Macroprotodon	cucullatus
